Dependent_count,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Avg_Utilization_Ratio
1,$40K - $60K,Blue,14,6746,2962,0.259
4,Less than $40K,Blue,36,2466,5005,0.71
4,$60K - $80K,Blue,25,13193,4071,0.133
4,$60K - $80K,Blue,36,3591,5079,0.487
2,$80K - $120K,Blue,43,12045,4884,0.145
0,$60K - $80K,Blue,39,10177,3557,0.172
3,$40K - $60K,Blue,36,2479,8042,0.705
5,$40K - $60K,Blue,24,2803,5089,0.623
0,$40K - $60K,Blue,37,10271,3696,0.17
2,Less than $40K,Blue,25,2732,4702,0.639
5,$80K - $120K,Blue,22,4042,1471,0.431
4,$40K - $60K,Blue,43,11272,1455,0.155
1,$60K - $80K,Blue,16,15795,13173,0.11
3,Unknown,Blue,39,6130,4264,0.284
2,$80K - $120K,Blue,46,18871,1516,0.092
3,$60K - $80K,Blue,24,8167,2141,0.213
2,Less than $40K,Blue,22,2448,4087,0.711
4,$60K - $80K,Blue,36,2597,5037,0.67
2,Less than $40K,Blue,29,2683,2274,0.648
2,Less than $40K,Blue,19,5141,5859,0.338
3,$80K - $120K,Blue,31,2626,4714,0.661
3,Less than $40K,Blue,40,2003,2343,0.866
3,$120K +,Blue,25,15017,2076,0.115
3,$80K - $120K,Blue,36,25878,1777,0.067
1,$40K - $60K,Blue,47,2459,2309,0.705
2,Less than $40K,Blue,36,2451,5283,0.707
3,Unknown,Blue,38,2883,4053,0.601
4,$60K - $80K,Blue,33,2021,3253,0.857
0,Less than $40K,Blue,19,2766,3959,0.626
2,Unknown,Silver,16,32292,7564,0.054
1,Less than $40K,Silver,54,13062,13609,0.133
3,Less than $40K,Blue,44,4646,1774,0.372
3,$60K - $80K,Blue,36,9137,4626,0.189
0,Less than $40K,Blue,53,2402,1650,0.719
1,Less than $40K,Blue,56,7023,2535,0.246
1,Unknown,Blue,40,2259,1852,0.762
1,$80K - $120K,Blue,36,2418,3896,0.711
1,$60K - $80K,Blue,31,2834,4581,0.607
3,Unknown,Blue,38,2808,5137,0.613
3,$60K - $80K,Blue,38,15483,4678,0.111
2,Unknown,Blue,45,2737,4725,0.628
2,$40K - $60K,Blue,36,13068,937,0.131
2,Less than $40K,Blue,33,2228,2334,0.771
3,$60K - $80K,Blue,40,8190,3529,0.21
1,$60K - $80K,Blue,36,19063,1270,0.09
3,$40K - $60K,Blue,33,9995,1172,0.171
1,Less than $40K,Blue,36,3173,3797,0.54
