Attrition_Flag,Dependent_count,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Avg_Utilization_Ratio
Existing Customer,4,Unknown,Blue,33,24949,4092,0.07
Existing Customer,4,$60K - $80K,Blue,36,10585,18484,0.165
Existing Customer,2,$60K - $80K,Blue,38,22332,1318,0.078
Existing Customer,1,Less than $40K,Blue,20,2590,2804,0.675
Existing Customer,3,Unknown,Blue,27,2478,4353,0.705
Existing Customer,2,Less than $40K,Blue,28,2421,1346,0.722
Existing Customer,3,Less than $40K,Blue,41,5833,3732,0.3
Existing Customer,3,$80K - $120K,Blue,30,11277,2033,0.155
Existing Customer,4,Less than $40K,Blue,45,1990,5216,0.878
Existing Customer,3,$40K - $60K,Blue,40,3367,5657,0.519
Existing Customer,4,$80K - $120K,Blue,36,23124,1959,0.076
Existing Customer,4,$40K - $60K,Blue,41,6741,1682,0.259
Existing Customer,1,$60K - $80K,Blue,40,17404,4491,0.1
Existing Customer,2,Less than $40K,Blue,48,2473,4823,0.706
Existing Customer,4,Less than $40K,Blue,36,2406,4748,0.725
Existing Customer,2,Unknown,Blue,37,7627,4349,0.228
Attrited Customer,4,$120K +,Blue,29,8700,2306,0.2
Existing Customer,0,Less than $40K,Blue,25,5715,2324,0.305
Existing Customer,5,$40K - $60K,Blue,36,2849,8669,0.611
Existing Customer,3,Less than $40K,Blue,36,3666,4735,0.474
Existing Customer,2,$40K - $60K,Blue,32,2000,7694,0.87
Existing Customer,4,Less than $40K,Blue,33,1896,4588,0.917
Existing Customer,5,$60K - $80K,Blue,36,6618,5022,0.263
Existing Customer,3,$60K - $80K,Blue,47,6228,8284,0.279
Existing Customer,3,$60K - $80K,Blue,36,2252,1291,0.771
Attrited Customer,4,$60K - $80K,Blue,36,6743,1934,0.258
Existing Customer,0,Less than $40K,Blue,56,3838,1467,0.452
Existing Customer,2,$80K - $120K,Blue,46,17190,15055,0.101
Existing Customer,1,$120K +,Blue,36,24545,1671,0.071
Existing Customer,1,Less than $40K,Blue,20,5497,16266,0.316
Existing Customer,2,Less than $40K,Blue,35,4675,1232,0.371
Existing Customer,2,$40K - $60K,Blue,34,3072,4540,0.564
Existing Customer,2,$60K - $80K,Blue,36,4192,13345,0.414
Existing Customer,2,$40K - $60K,Blue,36,2255,4772,0.769
Attrited Customer,2,Unknown,Blue,36,13735,1783,0.126
Existing Customer,4,$80K - $120K,Blue,25,5846,2056,0.296
Existing Customer,3,$80K - $120K,Blue,38,20348,1624,0.085
Existing Customer,4,Unknown,Blue,39,11545,3996,0.15
Existing Customer,2,$120K +,Blue,29,3300,1745,0.525
Existing Customer,5,$80K - $120K,Silver,28,34516,2421,0.05
Existing Customer,3,Less than $40K,Blue,36,3961,4066,0.437
Existing Customer,1,$60K - $80K,Blue,36,4255,3607,0.406
Existing Customer,0,$40K - $60K,Silver,52,15223,14230,0.114
Existing Customer,5,$80K - $120K,Blue,47,6065,1114,0.285
Existing Customer,1,Unknown,Blue,36,3723,8554,0.464
Existing Customer,4,$60K - $80K,Blue,34,23138,1612,0.075
Existing Customer,4,$60K - $80K,Blue,39,9682,14991,0.178
Existing Customer,2,$80K - $120K,Silver,35,34516,1729,0.05
Existing Customer,2,$40K - $60K,Blue,29,10980,1830,0.157
Existing Customer,5,Less than $40K,Blue,30,2709,5056,0.637
Existing Customer,3,$80K - $120K,Blue,27,3665,1881,0.471
Existing Customer,3,$80K - $120K,Blue,39,21350,4878,0.081
Existing Customer,3,$40K - $60K,Blue,37,4960,8218,0.348
Existing Customer,0,Less than $40K,Blue,36,5399,1292,0.319
Existing Customer,3,$80K - $120K,Platinum,40,34516,13853,0.05
Existing Customer,2,$40K - $60K,Blue,30,3735,14501,0.461
Existing Customer,2,Less than $40K,Blue,39,2581,4431,0.667
Existing Customer,2,$80K - $120K,Blue,36,10761,4731,0.16
Existing Customer,2,Less than $40K,Silver,44,12518,14276,0.138
Existing Customer,2,$60K - $80K,Blue,13,1963,1378,0.877
Existing Customer,3,$40K - $60K,Blue,24,4562,1896,0.377
Existing Customer,2,$60K - $80K,Silver,36,30428,4178,0.057
Attrited Customer,2,$40K - $60K,Blue,36,3250,1714,0.53
Existing Customer,2,$80K - $120K,Blue,42,25658,4498,0.067
Existing Customer,3,$80K - $120K,Blue,40,6052,1476,0.284
Existing Customer,3,$60K - $80K,Blue,25,13546,3943,0.127
Existing Customer,4,Unknown,Blue,24,2717,4196,0.633
Attrited Customer,3,Less than $40K,Blue,36,2031,2702,0.847
Existing Customer,2,$120K +,Blue,43,5657,2028,0.304
Existing Customer,2,$80K - $120K,Blue,46,34516,5220,0.05
Existing Customer,4,Less than $40K,Blue,34,2718,4423,0.632
Existing Customer,1,Unknown,Blue,50,7459,4328,0.23
Attrited Customer,4,$80K - $120K,Blue,36,32838,2538,0.052
Existing Customer,0,Less than $40K,Blue,56,2230,4027,0.77
Existing Customer,2,Unknown,Blue,40,6083,4528,0.282
Existing Customer,2,$120K +,Blue,35,10642,4183,0.161
Existing Customer,1,Less than $40K,Blue,38,2623,5237,0.653
Existing Customer,4,Less than $40K,Blue,38,2671,4519,0.641
Existing Customer,4,Less than $40K,Blue,33,3942,4622,0.434
Existing Customer,5,$40K - $60K,Silver,41,20756,1502,0.082
Existing Customer,2,Less than $40K,Blue,49,9678,7682,0.177
Existing Customer,1,$60K - $80K,Blue,39,8624,15738,0.198
Existing Customer,2,$120K +,Blue,42,24221,1678,0.07
Existing Customer,3,$40K - $60K,Blue,28,3563,1482,0.479
Attrited Customer,1,$40K - $60K,Blue,26,2045,2183,0.835
Existing Customer,2,$80K - $120K,Blue,44,18750,1200,0.091
Existing Customer,4,Less than $40K,Blue,26,2950,1260,0.578
Existing Customer,4,$120K +,Blue,36,7793,1099,0.219
Existing Customer,3,Less than $40K,Blue,23,2410,2505,0.707
Existing Customer,2,Less than $40K,Blue,36,6362,5169,0.268
Existing Customer,2,Less than $40K,Blue,40,2743,6993,0.622
Existing Customer,5,$60K - $80K,Blue,28,4587,2968,0.371
Existing Customer,4,Unknown,Blue,40,8162,4334,0.209
Existing Customer,0,Unknown,Blue,36,2025,4056,0.84
Existing Customer,4,$80K - $120K,Silver,41,34516,7707,0.049
Existing Customer,5,$120K +,Silver,31,34516,1628,0.049
Existing Customer,0,Less than $40K,Blue,36,3615,1967,0.47
Existing Customer,3,$60K - $80K,Blue,24,2066,1895,0.822
Existing Customer,1,$80K - $120K,Blue,43,25882,1736,0.066
Existing Customer,1,Less than $40K,Blue,41,2442,4313,0.696
Existing Customer,1,$120K +,Blue,34,3250,2006,0.522
Existing Customer,2,$60K - $80K,Blue,26,5815,1604,0.292
Attrited Customer,1,Less than $40K,Blue,23,2218,730,0.765
Existing Customer,4,$80K - $120K,Blue,34,15913,4472,0.107
Existing Customer,3,Less than $40K,Blue,32,2046,3432,0.828
Existing Customer,1,Less than $40K,Blue,39,2720,5103,0.623
Existing Customer,3,$40K - $60K,Blue,39,1765,4803,0.96
Existing Customer,2,$60K - $80K,Blue,35,7653,7508,0.221
Existing Customer,3,$80K - $120K,Blue,36,33406,1529,0.051
Attrited Customer,2,Unknown,Blue,44,3781,2310,0.448
Existing Customer,5,Less than $40K,Blue,31,7531,7768,0.225
Existing Customer,2,$80K - $120K,Blue,26,15982,1687,0.106
Existing Customer,2,$60K - $80K,Blue,48,2451,1596,0.69
Existing Customer,3,$40K - $60K,Blue,51,7226,3474,0.234
Existing Customer,2,Less than $40K,Blue,36,2528,4269,0.668
Existing Customer,0,Less than $40K,Blue,36,2074,4232,0.814
Existing Customer,1,$40K - $60K,Blue,36,2235,4633,0.755
Existing Customer,2,Less than $40K,Blue,36,2041,1555,0.827
Existing Customer,1,$60K - $80K,Blue,32,3657,2758,0.461
Existing Customer,2,Unknown,Silver,36,34516,3146,0.049
Existing Customer,3,$40K - $60K,Blue,36,2594,4503,0.65
Existing Customer,2,Less than $40K,Blue,36,6482,7544,0.26
