Crime_Type,Incident_Date,Location,Report_Time,Weapon_Used,Victim_Age,Victim_Gender,Victim_Nationality,Offender_Age,Offender_Gender,Offender_Nationality,Previous_Offenses,Charges_Filed,Case_Outcome,Crime_Severity,Reported_to_Police,Public_Area,CCTV_Coverage,Community_Watch_Program
Assault,2021-01-01 00:00:00,South,2021-01-01 00:10:00,Other,34,Male,Indonesian,29,Female,Malaysian,3,Yes,Acquitted,Major,Yes,Yes,Yes,Yes
Fraud,2021-01-02 02:16:56,South,2021-01-02 03:09:56,None,60,Female,Indian,27,Male,Singaporean,3,No,Acquitted,Major,No,No,Yes,Yes
Theft,2021-01-03 04:33:52,South,2021-01-03 04:54:52,Firearm,50,Male,Singaporean,38,Female,Indonesian,5,No,Acquitted,Minor,No,Yes,Yes,No
Theft,2021-01-04 06:50:48,East,2021-01-04 07:30:48,Other,78,Female,Indian,30,Female,Others,8,No,Dismissed,Moderate,Yes,Yes,Yes,Yes
Assault,2021-01-05 09:07:44,Central,2021-01-05 09:44:44,Other,51,Female,Singaporean,38,Male,Indonesian,0,Yes,Pending,Minor,No,No,Yes,Yes
Theft,2021-01-06 11:24:41,East,2021-01-06 11:38:41,None,47,Male,Indian,67,Male,Indonesian,0,No,Acquitted,Minor,No,Yes,No,Yes
Assault,2021-01-07 13:41:37,North,2021-01-07 13:50:37,Knife,57,Female,Singaporean,46,Male,Singaporean,1,No,Pending,Minor,No,Yes,Yes,No
Assault,2021-01-08 15:58:33,Central,2021-01-08 16:41:33,Knife,45,Male,Indonesian,67,Female,Malaysian,8,No,Pending,Minor,No,Yes,Yes,Yes
Burglary,2021-01-09 18:15:29,South,2021-01-09 19:00:29,None,71,Male,Singaporean,61,Female,Indonesian,2,Yes,Pending,Moderate,No,Yes,Yes,Yes
Theft,2021-01-10 20:32:25,South,2021-01-10 21:22:25,Knife,55,Male,Malaysian,49,Female,Indonesian,3,Yes,Pending,Minor,Yes,No,Yes,Yes
Theft,2021-01-11 22:49:22,West,2021-01-11 23:37:22,None,59,Male,Malaysian,44,Female,Malaysian,0,Yes,Acquitted,Moderate,Yes,No,Yes,Yes
Fraud,2021-01-13 01:06:18,South,2021-01-13 01:44:18,Other,68,Male,Indonesian,37,Female,Singaporean,9,Yes,Dismissed,Minor,No,Yes,Yes,No
Vandalism,2021-01-14 03:23:14,North,2021-01-14 03:37:14,None,48,Male,Others,69,Female,Indonesian,2,Yes,Convicted,Moderate,No,Yes,Yes,No
Vandalism,2021-01-15 05:40:10,East,2021-01-15 05:55:10,Firearm,58,Male,Indian,52,Female,Malaysian,6,No,Acquitted,Minor,Yes,Yes,Yes,Yes
Vandalism,2021-01-16 07:57:07,Central,2021-01-16 08:47:07,Knife,37,Female,Indonesian,74,Female,Singaporean,3,Yes,Pending,Moderate,Yes,Yes,No,No
Assault,2021-01-17 10:14:03,Central,2021-01-17 10:47:03,None,32,Female,Malaysian,40,Female,Others,4,Yes,Dismissed,Major,Yes,Yes,Yes,Yes
Burglary,2021-01-18 12:30:59,Central,2021-01-18 12:53:59,Knife,79,Female,Singaporean,23,Male,Singaporean,3,Yes,Dismissed,Major,Yes,No,Yes,No
Others,2021-01-19 14:47:55,South,2021-01-19 15:12:55,None,56,Male,Indonesian,47,Male,Singaporean,9,Yes,Convicted,Major,No,No,No,No
Fraud,2021-01-20 17:04:51,Central,2021-01-20 18:02:51,None,54,Female,Indian,66,Male,Indian,3,No,Pending,Moderate,Yes,Yes,Yes,No
Burglary,2021-01-21 19:21:48,Central,2021-01-21 19:22:48,Other,26,Female,Singaporean,47,Male,Indian,8,No,Acquitted,Major,No,Yes,No,Yes
Burglary,2021-01-22 21:38:44,South,2021-01-22 21:46:44,None,28,Female,Singaporean,61,Male,Malaysian,7,Yes,Dismissed,Major,No,Yes,Yes,Yes
Drug Offense,2021-01-23 23:55:40,South,2021-01-24 00:51:40,Firearm,50,Male,Indian,60,Male,Malaysian,6,No,Pending,Moderate,No,Yes,No,Yes
Vandalism,2021-01-25 02:12:36,North,2021-01-25 02:49:36,Knife,33,Male,Malaysian,78,Male,Indian,5,Yes,Pending,Moderate,No,Yes,No,No
Drug Offense,2021-01-26 04:29:32,Central,2021-01-26 04:33:32,Knife,29,Male,Others,20,Male,Malaysian,6,No,Acquitted,Minor,No,Yes,Yes,Yes
Theft,2021-01-27 06:46:29,Central,2021-01-27 07:11:29,Firearm,54,Male,Indonesian,69,Male,Indian,1,Yes,Pending,Minor,Yes,Yes,No,No
Vandalism,2021-01-28 09:03:25,North,2021-01-28 09:33:25,Other,44,Male,Others,61,Male,Malaysian,6,No,Pending,Minor,No,Yes,No,Yes
Burglary,2021-01-29 11:20:21,Central,2021-01-29 11:53:21,Knife,58,Male,Malaysian,78,Male,Malaysian,2,Yes,Acquitted,Moderate,No,Yes,No,No
