Age,Gender,Major,GPA,Enrollment_Status,Year_in_Program,Extracurricular_Activity,Nationality,Language_Spoken,Study_Abroad_Interest,Scholarship_Status,Dormitory_Resident,Visa_Status,Previous_Education,Parental_Occupation,Financial_Aid,Interview_Date
23,Male,Service Training,2.27,Full-time,2,Volunteering,Indonesian,Others,No,Non-Recipient,Yes,Student Visa,Home Schooling,Healthcare,Yes,2023-08-22
24,Female,FinTech,2.37,Part-time,3,Sports,Singaporean,Tamil,Yes,Non-Recipient,Yes,Permanent Resident,Local School,Healthcare,No,2023-01-02
20,Female,Machine Learning,3.45,Part-time,2,Volunteering,Singaporean,Malay,Yes,Non-Recipient,No,Permanent Resident,Home Schooling,Others,No,2022-02-22
22,Male,Information Technology,3.28,Part-time,3,None,Malaysian,Malay,Yes,Non-Recipient,Yes,Student Visa,International School,Others,Yes,2023-01-11
20,Male,Business,2.59,Part-time,4,Volunteering,Indonesian,Malay,Yes,Non-Recipient,Yes,Citizen,Home Schooling,Healthcare,No,2023-03-16
21,Female,Information Technology,2.12,Full-time,4,Arts,Indian,Tamil,Yes,Recipient,Yes,Permanent Resident,International School,Service,No,2023-08-16
20,Female,Service Training,2.85,Full-time,3,Sports,Indonesian,Tamil,Yes,Recipient,Yes,Permanent Resident,International School,Education,Yes,2022-10-13
20,Female,Service Training,2.38,Part-time,4,None,Indonesian,Others,Yes,Recipient,No,Others,Local School,Service,Yes,2023-12-18
20,Male,Hospitality Management,3.45,Full-time,1,Sports,Malaysian,Tamil,No,Non-Recipient,Yes,Citizen,International School,Service,Yes,2021-02-21
19,Female,Information Technology,2.67,Full-time,3,Arts,Indonesian,Mandarin,No,Non-Recipient,No,Citizen,Local School,Education,No,2021-10-26
24,Female,Machine Learning,3.65,Full-time,1,Volunteering,Malaysian,Malay,Yes,Recipient,Yes,Student Visa,International School,Healthcare,Yes,2023-05-26
18,Female,Business,2.91,Full-time,1,Arts,Others,Malay,No,Recipient,No,Citizen,Home Schooling,Others,Yes,2021-10-12
18,Female,Information Technology,2.37,Full-time,4,Arts,Malaysian,Tamil,No,Recipient,No,Permanent Resident,International School,Education,No,2021-04-24
18,Male,Service Training,2.47,Part-time,2,Sports,Malaysian,Others,Yes,Non-Recipient,Yes,Citizen,International School,Service,No,2022-06-11
20,Female,Business,2.64,Full-time,1,Sports,Indian,Tamil,Yes,Recipient,No,Permanent Resident,Local School,Business,Yes,2021-10-03
18,Female,Service Training,3.72,Part-time,3,None,Indian,Tamil,No,Recipient,Yes,Others,International School,Education,No,2022-09-24
20,Male,FinTech,3.88,Part-time,1,Volunteering,Indian,Malay,No,Recipient,No,Others,International School,Service,Yes,2023-11-19
21,Female,AI,2.84,Full-time,4,Arts,Singaporean,English,Yes,Recipient,Yes,Permanent Resident,Others,Education,Yes,2023-06-21
19,Male,Business,3.92,Part-time,4,Sports,Singaporean,Mandarin,Yes,Recipient,Yes,Citizen,Others,Education,No,2023-12-18
20,Female,Business,3.85,Full-time,4,None,Indonesian,Tamil,Yes,Non-Recipient,Yes,Student Visa,Home Schooling,Healthcare,No,2023-10-07
22,Male,Hospitality Management,3.81,Full-time,3,Volunteering,Singaporean,Malay,No,Non-Recipient,No,Permanent Resident,International School,Others,No,2021-12-25
20,Female,Business,3.1,Part-time,1,Arts,Others,Tamil,Yes,Non-Recipient,Yes,Citizen,International School,Healthcare,No,2021-05-08
19,Female,Machine Learning,3.18,Part-time,1,Arts,Indonesian,Mandarin,No,Recipient,Yes,Permanent Resident,International School,Business,No,2021-07-22
24,Female,FinTech,3.52,Full-time,1,Arts,Malaysian,Others,Yes,Recipient,No,Permanent Resident,Others,Others,No,2023-08-11
22,Female,Machine Learning,2.71,Full-time,1,Volunteering,Malaysian,Others,No,Recipient,No,Permanent Resident,Home Schooling,Education,No,2023-05-04
23,Female,Hospitality Management,3.72,Part-time,3,Arts,Indonesian,Others,No,Non-Recipient,No,Permanent Resident,Local School,Others,Yes,2021-10-28
19,Male,Business,3.54,Full-time,3,Sports,Indonesian,English,Yes,Non-Recipient,Yes,Others,International School,Business,Yes,2021-11-11
