Age,Gender,Race,Educational_Level,Marital_Status,Industry,Occupation,Years_in_Current_Job,Employment_Type,Monthly_Income_SGD,Job_Satisfaction_Level,Skills_Training,Promotion_in_Last_5_Years,Looking_for_Job_Change,Work_Hours_per_Week,Commute_Time_One_Way_Hours,Previous_Employment_Status,Residency_Status,Languages_Spoken,Work_Location_Preference,Recent_Training_or_Courses,Expected_Salary_Increase_%,Job_Security_Concerns,Interview_Date
34,Male,Others,Diploma,Single,Finance,Engineer,10,Full-time,9443.95,Neutral,Yes,Yes,Yes,38.6,1.37,Retired,Foreigner,Others,On-site,Yes,5.7,No,2022-01-21
64,Female,Others,High School,Widowed,Hospitality,Teacher,26,Self-employed,7267.79,Very Satisfied,No,Yes,No,53.3,0.78,Student,Foreigner,Malay,Remote,No,14.6,No,2023-09-24
29,Female,Others,Diploma,Married,Education,Doctor,2,Part-time,8197.49,Satisfied,No,No,Yes,43.9,1.73,Unemployed,Permanent Resident,English,Remote,Yes,17.6,Yes,2023-05-02
53,Female,Others,PhD,Divorced,Healthcare,Laborer,19,Part-time,3429.73,Unsatisfied,Yes,Yes,Yes,37.7,1.87,Student,Foreigner,Malay,On-site,No,8.1,Yes,2021-06-01
64,Female,Malay,Diploma,Single,Healthcare,Laborer,21,Self-employed,4267.99,Unsatisfied,Yes,No,No,53,0.85,Student,Citizen,Mandarin,On-site,No,10.4,No,2022-06-28
47,Female,Others,Bachelor,Widowed,Healthcare,Manager,2,Self-employed,5195.35,Satisfied,No,Yes,Yes,60,0.63,Student,Foreigner,Others,Remote,Yes,16.8,No,2021-04-21
40,Male,Malay,Bachelor,Married,Finance,Laborer,20,Contract,11814.24,Very Satisfied,No,Yes,No,46.7,1.69,Student,Citizen,Mandarin,On-site,No,5.9,Yes,2023-05-16
22,Male,Malay,PhD,Married,Finance,Engineer,22,Part-time,14582.99,Very Satisfied,Yes,Yes,No,58,1.39,Employed,Foreigner,English,On-site,Yes,19.5,Yes,2022-10-11
59,Female,Malay,Bachelor,Married,Education,Technician,21,Full-time,12257.27,Very Unsatisfied,Yes,Yes,No,44.3,1.82,Employed,Citizen,Mandarin,Remote,No,19.6,Yes,2023-07-21
63,Female,Chinese,Diploma,Married,Hospitality,Doctor,26,Contract,14760.97,Unsatisfied,No,Yes,No,58.6,0.98,Employed,Permanent Resident,Tamil,Hybrid,Yes,12.9,No,2022-09-12
22,Female,Malay,PhD,Divorced,Hospitality,Technician,21,Self-employed,11075.62,Neutral,No,Yes,No,55.3,0.72,Student,Citizen,Malay,Remote,No,13.3,No,2023-08-23
35,Female,Indian,Bachelor,Divorced,Construction,Manager,4,Full-time,9577.37,Very Satisfied,Yes,No,No,44.3,1.36,Retired,Foreigner,Others,On-site,Yes,5,Yes,2023-03-02
