Transport_Mode,Vehicle_Type,Trip_Purpose,Trip_Duration_Minutes,Distance_Km,Start_Time,End_Time,Passenger_Age,Gender,Nationality,Trip_Cost_SGD,Payment_Method,Service_Rating,Traffic_Condition,CO2_Emissions_Kg,Frequent_User,Peak_Hour_Travel,Accessibility_Features_Needed,Incidents_Reported
Bicycle,None,Others,10.44,44.77,2021-01-01 00:00:00,2021-01-01 00:10:26,59,Male,Indonesian,34.2,Mobile App,2.5,Moderate,4.83,No,Yes,No,No
Walk,None,Shopping,62.64,15.84,2021-01-02 02:16:56,2021-01-02 03:19:34,65,Male,Indonesian,47.13,Mobile App,4.8,Moderate,5.95,Yes,No,No,Yes
Train,Van,Others,100.08,40.75,2021-01-03 04:33:52,2021-01-03 06:13:57,31,Male,Indonesian,38.16,Cash,2.9,Moderate,1.12,No,Yes,Yes,Yes
Taxi,SUV,Business,35.95,20.66,2021-01-04 06:50:48,2021-01-04 07:26:45,41,Male,Indonesian,9.7,Travel Pass,4.7,Light,5.14,No,Yes,Yes,Yes
Walk,None,Commuting,6.61,25.84,2021-01-05 09:07:44,2021-01-05 09:14:21,63,Female,Indian,17.03,Mobile App,3.8,Heavy,0.4,Yes,Yes,Yes,Yes
Bus,SUV,School,60.76,35.17,2021-01-06 11:24:41,2021-01-06 12:25:27,41,Female,Indian,13.11,Travel Pass,4.2,Heavy,5.48,No,Yes,Yes,Yes
Bicycle,None,Leisure,94.17,2.59,2021-01-07 13:41:37,2021-01-07 15:15:47,62,Male,Others,45.09,Cash,4.4,Light,3.28,No,Yes,No,Yes
Bus,Electric Scooter,Business,78.71,11.81,2021-01-08 15:58:33,2021-01-08 17:17:16,73,Male,Others,11.69,Travel Pass,3.6,Heavy,7.79,Yes,Yes,Yes,No
Private Car,Van,Business,24.22,8.19,2021-01-09 18:15:29,2021-01-09 18:39:42,76,Male,Indian,13.77,Card,2.9,Heavy,7.19,No,No,No,No
Bicycle,None,Leisure,118.79,20.72,2021-01-10 20:32:25,2021-01-10 22:31:12,68,Male,Malaysian,13.05,Mobile App,2.1,Moderate,0.54,No,Yes,No,Yes
Walk,Van,Business,88.27,18.87,2021-01-11 22:49:22,2021-01-12 00:17:38,72,Male,Singaporean,17.05,Cash,4.7,Heavy,8.01,No,No,Yes,No
Bicycle,None,Business,10.7,6.31,2021-01-13 01:06:18,2021-01-13 01:17:00,22,Male,Others,35.99,Mobile App,1.4,Light,9.12,No,No,Yes,Yes
Private Car,Sedan,Others,93.44,16.25,2021-01-14 03:23:14,2021-01-14 04:56:40,47,Female,Singaporean,25.96,Card,3.9,Moderate,1.17,Yes,No,No,Yes
Train,Motorcycle,Shopping,91.75,21.54,2021-01-15 05:40:10,2021-01-15 07:11:55,55,Male,Singaporean,28.93,Cash,4.6,Moderate,5.21,Yes,Yes,No,Yes
Bus,SUV,Shopping,84.68,49.15,2021-01-16 07:57:07,2021-01-16 09:21:48,34,Female,Others,34.26,Card,4.9,Moderate,4.58,Yes,No,No,Yes
Bus,Sedan,Commuting,45.67,45.19,2021-01-17 10:14:03,2021-01-17 10:59:43,74,Male,Malaysian,30.36,Travel Pass,2.6,Heavy,7.7,Yes,Yes,Yes,Yes
Private Car,SUV,Shopping,48.89,24.74,2021-01-18 12:30:59,2021-01-18 13:19:52,38,Female,Indian,36.09,Card,4.9,Heavy,1.52,Yes,Yes,No,No
Private Car,Electric Scooter,Leisure,46.05,30.76,2021-01-19 14:47:55,2021-01-19 15:33:58,71,Female,Singaporean,11.44,Cash,4.8,Heavy,3.39,No,Yes,Yes,No
Train,None,Leisure,35.15,20.11,2021-01-20 17:04:51,2021-01-20 17:40:00,51,Male,Malaysian,41.66,Card,2.5,Heavy,5.11,Yes,No,No,No
Taxi,Van,Commuting,32.29,1.94,2021-01-21 19:21:48,2021-01-21 19:54:05,67,Male,Others,4.24,Cash,3.6,Moderate,0.78,Yes,No,No,No
Private Car,Van,Others,32.37,25.3,2021-01-22 21:38:44,2021-01-22 22:11:06,43,Male,Indonesian,45.84,Card,1.7,Moderate,3.26,No,Yes,Yes,No
Taxi,SUV,Business,93.01,6.97,2021-01-23 23:55:40,2021-01-24 01:28:41,24,Female,Others,11.56,Card,2.5,Moderate,3.56,Yes,Yes,Yes,No
Taxi,Electric Scooter,Commuting,105.91,47.33,2021-01-25 02:12:36,2021-01-25 03:58:31,54,Male,Others,41.32,Travel Pass,4.1,Light,2.14,Yes,No,Yes,No
Walk,None,Business,69,16.01,2021-01-26 04:29:32,2021-01-26 05:38:32,22,Male,Indonesian,30,Mobile App,2.8,Light,0.18,Yes,No,Yes,Yes
Bus,Motorcycle,Leisure,17.47,1.51,2021-01-27 06:46:29,2021-01-27 07:03:57,78,Female,Malaysian,4.1,Travel Pass,1.9,Moderate,5.55,No,No,No,Yes
Bicycle,Sedan,Others,36.97,6.55,2021-01-28 09:03:25,2021-01-28 09:40:23,75,Female,Indonesian,49.26,Cash,1.6,Heavy,5.71,No,No,Yes,No
Taxi,SUV,Commuting,50.69,18.73,2021-01-29 11:20:21,2021-01-29 12:11:02,50,Female,Indian,6.87,Cash,4.6,Heavy,7,No,Yes,Yes,No
