Visitor_Age,Visitor_Gender,Visitor_Nationality,Travel_Purpose,Group_Size,Accommodation_Type,Length_of_Stay_Days,Room_Type,Booking_Channel,Daily_Spending_SGD,Accommodation_Cost_SGD,Satisfaction_Rating,Service_Quality_Rating,Likelihood_to_Return,Visit_Date,Departure_Date,Season,Travel_With_Children,Special_Requests,Previous_Visits
49,Male,American,Business,8,Private Home,28,Suite,Travel Agency,796.23,22294.44,1.7,4.1,Low,2021-01-01,2021-01-29 00:00:00,Peak,No,Yes,2
50,Female,British,Business,4,Private Home,20,Suite,Travel Agency,655.26,13105.2,4.2,3.8,High,2021-01-02,2021-01-22 00:00:00,Off-Peak,No,No,4
76,Male,Indian,Leisure,5,Others,26,Deluxe,Direct Booking,51.78,1346.28,2.9,3.7,High,2021-01-03,2021-01-29 00:00:00,Off-Peak,Yes,Yes,3
51,Female,Others,Visiting Friends/Relatives,5,Hotel,25,Deluxe,Direct Booking,262.16,6554,5,3.6,None,2021-01-04,2021-01-29 00:00:00,Peak,Yes,Yes,3
28,Female,British,Transit,4,Hotel,19,Suite,Direct Booking,431.75,8203.25,1.2,3.9,High,2021-01-05,2021-01-24 00:00:00,Peak,No,Yes,3
70,Male,Australian,Visiting Friends/Relatives,2,Serviced Apartment,19,Suite,Online,830.5,15779.5,2.7,4.3,High,2021-01-06,2021-01-25 00:00:00,Peak,No,Yes,0
60,Male,Indian,Transit,5,Private Home,22,Standard,Online,415.16,9133.52,4.2,2.8,Low,2021-01-07,2021-01-29 00:00:00,Off-Peak,No,No,4
44,Female,British,Leisure,5,Hostel,22,Deluxe,Travel Agency,270.05,5941.1,3.4,4.2,None,2021-01-08,2021-01-30 00:00:00,Peak,No,No,0
53,Male,American,Transit,2,Serviced Apartment,29,Suite,Travel Agency,998.23,28948.67,4.8,4.7,Low,2021-01-09,2021-02-07 00:00:00,Off-Peak,No,No,4
21,Female,British,Leisure,3,Private Home,23,Suite,Travel Agency,681.14,15666.22,1.6,4.3,High,2021-01-10,2021-02-02 00:00:00,Peak,Yes,No,0
45,Male,Chinese,Visiting Friends/Relatives,2,Hotel,21,Deluxe,Direct Booking,439.24,9224.04,2.6,4,Moderate,2021-01-11,2021-02-01 00:00:00,Peak,No,No,2
25,Female,American,Visiting Friends/Relatives,4,Private Home,21,Suite,Online,340.52,7150.92,3.4,1.9,Moderate,2021-01-13,2021-02-03 00:00:00,Peak,No,No,4
50,Female,Indian,Visiting Friends/Relatives,8,Hotel,11,Standard,Online,84.46,929.06,2.9,4.2,Moderate,2021-01-14,2021-01-25 00:00:00,Peak,Yes,No,3
72,Male,Chinese,Business,4,Private Home,20,Deluxe,Online,306.17,6123.4,2.5,1.2,Moderate,2021-01-15,2021-02-04 00:00:00,Off-Peak,Yes,Yes,2
41,Female,American,Leisure,4,Hotel,25,Standard,Online,524.38,13109.5,1.9,2.4,Moderate,2021-01-16,2021-02-10 00:00:00,Off-Peak,Yes,No,2
77,Female,American,Business,3,Serviced Apartment,8,Deluxe,Online,626.57,5012.56,2.5,2.4,None,2021-01-17,2021-01-25 00:00:00,Off-Peak,Yes,Yes,0
30,Female,Australian,Business,8,Serviced Apartment,10,Deluxe,Direct Booking,656.78,6567.8,2.9,4.3,None,2021-01-18,2021-01-28 00:00:00,Off-Peak,Yes,Yes,2
47,Male,Australian,Visiting Friends/Relatives,5,Hostel,4,Suite,Travel Agency,129.07,516.28,1,2.6,High,2021-01-19,2021-01-23 00:00:00,Off-Peak,No,Yes,4
40,Female,Indian,Leisure,2,Private Home,17,Suite,Travel Agency,853.56,14510.52,4.8,4.6,None,2021-01-20,2021-02-06 00:00:00,Off-Peak,No,No,4
66,Male,Australian,Visiting Friends/Relatives,4,Hotel,14,Deluxe,Direct Booking,95.44,1336.16,4.2,1.6,Moderate,2021-01-21,2021-02-04 00:00:00,Peak,Yes,Yes,2
34,Female,Others,Leisure,9,Hostel,5,Deluxe,Online,943.19,4715.95,4.3,4.9,None,2021-01-22,2021-01-27 00:00:00,Off-Peak,No,Yes,1
21,Male,Others,Business,2,Private Home,10,Standard,Online,843.52,8435.2,4.6,2.1,High,2021-01-23,2021-02-02 00:00:00,Off-Peak,Yes,No,3
48,Male,Indian,Leisure,2,Others,10,Suite,Online,248.24,2482.4,3.8,3.1,High,2021-01-25,2021-02-04 00:00:00,Off-Peak,Yes,No,3
35,Female,Australian,Visiting Friends/Relatives,2,Hotel,25,Suite,Direct Booking,723.61,18090.25,2.1,2.9,Low,2021-01-26,2021-02-20 00:00:00,Peak,No,Yes,0
21,Female,Others,Leisure,4,Serviced Apartment,17,Suite,Direct Booking,891.78,15160.26,3.9,4.7,Moderate,2021-01-27,2021-02-13 00:00:00,Off-Peak,No,Yes,3
20,Female,Indian,Leisure,4,Others,16,Standard,Travel Agency,396.33,6341.28,3.5,5,High,2021-01-28,2021-02-13 00:00:00,Peak,No,No,3
79,Female,Australian,Business,1,Serviced Apartment,7,Deluxe,Travel Agency,342.99,2400.93,1.3,3.7,None,2021-01-29,2021-02-05 00:00:00,Peak,No,No,2
29,Male,Indian,Transit,2,Hostel,23,Standard,Direct Booking,715.28,16451.44,2.4,3,Low,2021-01-30,2021-02-22 00:00:00,Off-Peak,No,Yes,4
61,Male,Australian,Transit,7,Hotel,18,Suite,Online,453.99,8171.82,4,3.4,Low,2021-01-31,2021-02-18 00:00:00,Peak,No,No,4
29,Male,Australian,Leisure,6,Private Home,11,Standard,Direct Booking,757.04,8327.44,2.5,1.2,None,2021-02-01,2021-02-12 00:00:00,Off-Peak,No,Yes,4
44,Male,Others,Leisure,2,Serviced Apartment,7,Deluxe,Travel Agency,62.2,435.4,3.8,4.8,Low,2021-02-02,2021-02-09 00:00:00,Peak,Yes,No,4
24,Male,Australian,Visiting Friends/Relatives,1,Hotel,3,Suite,Travel Agency,841.29,2523.87,4.2,4.6,None,2021-02-03,2021-02-06 00:00:00,Off-Peak,Yes,Yes,0
29,Female,Chinese,Visiting Friends/Relatives,8,Hostel,18,Standard,Travel Agency,278.95,5021.1,4.5,4.8,Moderate,2021-02-05,2021-02-23 00:00:00,Off-Peak,No,Yes,4
24,Female,Others,Visiting Friends/Relatives,4,Hostel,23,Deluxe,Online,854.33,19649.59,4.6,1.9,Moderate,2021-02-06,2021-03-01 00:00:00,Off-Peak,Yes,No,0
49,Female,Others,Transit,9,Others,22,Standard,Direct Booking,154.67,3402.74,4,1.8,High,2021-02-07,2021-03-01 00:00:00,Off-Peak,Yes,Yes,2
70,Male,Chinese,Visiting Friends/Relatives,2,Serviced Apartment,11,Suite,Online,265.69,2922.59,1.7,2.6,Moderate,2021-02-08,2021-02-19 00:00:00,Peak,Yes,No,3
71,Female,American,Transit,9,Hotel,2,Suite,Online,143.59,287.18,4.6,3.2,High,2021-02-09,2021-02-11 00:00:00,Off-Peak,Yes,No,4
19,Female,Chinese,Business,8,Private Home,17,Suite,Travel Agency,582.08,9895.36,4.8,4.3,Moderate,2021-02-10,2021-02-27 00:00:00,Peak,Yes,Yes,1
58,Female,Others,Leisure,7,Private Home,2,Standard,Online,192.67,385.34,1,4.7,High,2021-02-11,2021-02-13 00:00:00,Peak,No,Yes,4
72,Female,Indian,Business,9,Serviced Apartment,11,Suite,Direct Booking,832.39,9156.29,3.9,1.3,None,2021-02-12,2021-02-23 00:00:00,Peak,No,No,4
79,Male,Australian,Leisure,3,Others,25,Deluxe,Direct Booking,886.74,22168.5,1.8,3,None,2021-02-13,2021-03-10 00:00:00,Off-Peak,No,No,4
25,Male,American,Business,9,Hotel,18,Suite,Travel Agency,716.15,12890.7,1.5,3,High,2021-02-14,2021-03-04 00:00:00,Off-Peak,No,Yes,0
28,Female,Chinese,Leisure,6,Private Home,8,Standard,Travel Agency,928.76,7430.08,2.3,1.2,Moderate,2021-02-15,2021-02-23 00:00:00,Off-Peak,Yes,No,4
79,Female,Chinese,Visiting Friends/Relatives,3,Hostel,8,Standard,Direct Booking,317.68,2541.44,4.3,1.9,Low,2021-02-17,2021-02-25 00:00:00,Peak,Yes,Yes,0
30,Male,Australian,Visiting Friends/Relatives,7,Serviced Apartment,27,Standard,Direct Booking,672.68,18162.36,1.9,3.6,High,2021-02-18,2021-03-17 00:00:00,Peak,No,No,3
28,Female,British,Leisure,1,Others,17,Deluxe,Direct Booking,764.53,12997.01,4.4,1.1,None,2021-02-19,2021-03-08 00:00:00,Peak,No,No,1
68,Male,Indian,Business,3,Private Home,27,Standard,Online,176.36,4761.72,4.1,3.8,None,2021-02-20,2021-03-19 00:00:00,Peak,Yes,Yes,3
