"Year","Quarter","Accommodation & Food Services","Business Services","Construction","Finance & Insurance","Goods Producing Industries","Gross Domestic Product At 2010 Market Prices","Information & Communications","Manufacturing","Other Goods Industries","Other Services Industries","Ownership Of Dwellings","Services Producing Industries","Transportation & Storage","Utilities","Wholesale & Retail Trade"
1975,"1Q",236.5,1336.2,508.9,344.6,2017.5,7052.1,37.9,1308.9,83.6,983.1,276.9,4133.6,543.1,130.2,1361
1975,"2Q",239.9,1385.4,533,327,2034.9,7154.8,34.1,1303.3,85.8,1002.4,281.8,4214.3,571.5,131.3,1418.3
1975,"3Q",241.8,1384,559,336.2,2202.6,7321.1,35,1441.8,87.9,1024.5,287.9,4198.3,584.5,135.7,1353.7
1975,"4Q",246.9,1365.9,591.8,359.9,2260.2,7435.2,37.1,1462.9,93.1,1026.3,290.9,4232.7,589.7,138.3,1333.1
1976,"1Q",253.7,1368.8,605,375.6,2334.5,7632.5,37.9,1520.5,96.2,1027.8,294.7,4349.1,643.8,139.6,1340.4
1976,"2Q",255.6,1336.7,622.4,359.3,2336.8,7683.9,39.6,1504.4,96.7,1050.4,296.2,4390,647.8,142.7,1375.3
1976,"3Q",264.5,1338.5,626.6,375.6,2407.3,7846.4,41.5,1565.6,97.3,1049,302.6,4481.1,663.5,146.1,1400.4
1976,"4Q",271.2,1309.4,576.6,402.8,2387.6,7942.8,39.5,1581.8,94.7,1061.2,308.7,4561.9,687.5,149.5,1407.8
1977,"1Q",275.5,1369.2,602.9,377.9,2467.5,8164.5,50.9,1634.6,99.1,1061.5,312.8,4687.3,713.9,149.9,1455.6
1977,"2Q",284.1,1347.2,591.6,391.5,2528.1,8315.7,45.1,1690.2,98.7,1066.6,319.3,4748.1,728.3,159,1495.2
1977,"3Q",289.6,1360,608.4,384.4,2537.5,8414.2,47.9,1689,96.4,1074.1,319.3,4825.7,769,160.3,1500.2
1977,"4Q",293.3,1368.5,571.1,381.9,2556.4,8541.9,51.4,1733.5,95,1087.9,327.2,4933.2,798,163,1535.7
1978,"1Q",302.3,1352.2,547.7,405.2,2560.5,8726.6,54.1,1740.2,93.1,1119.9,328,5091.7,808.9,172.3,1562.1
1978,"2Q",306.9,1331.1,537.6,432.3,2633.1,8898.9,59,1820.9,93.4,1131.8,330.7,5176.4,842.7,173.3,1556.2
1978,"3Q",315.8,1336.4,536.3,463.5,2750.5,9236.5,61.2,1931.4,94.1,1167.1,332,5361.7,873.6,180.2,1622.6
1978,"4Q",319.5,1331.8,563,484.8,2750.5,9462.1,63.5,2011.6,94.1,1200.4,333.3,5459.6,903.6,187.5,1619.2
1979,"1Q",320.5,1381.6,567,454.6,2908,9540.5,65.4,2051.2,92.5,1175,353.7,5464.6,928.9,189.6,1632.2
1979,"2Q",332.4,1425.2,583.4,478,2978.8,9832.7,68.1,2100.7,96.2,1211.2,358,5636.9,970.1,190.4,1648.9
1979,"3Q",337.7,1419.6,581.2,498.4,3017.6,10002.7,71.4,2141,95.5,1226.1,358.7,5738.3,974.7,191.7,1700.9
1979,"4Q",351.5,1449,598,538.1,3158,10401.8,74.9,2258.1,97.8,1227.4,360.3,5928.2,1053.3,195.6,1706.2
1980,"1Q",361.1,1452.9,632,602.9,3211.9,10632.8,79.6,2278.4,93.1,1252.2,377.1,6083.1,1075.9,201.8,1692.1
1980,"2Q",371.7,1485.8,641.9,615.2,3280.9,10808.7,83.1,2331.7,96.5,1261.9,377.1,6195.1,1079.3,203.6,1742.4
1980,"3Q",381.7,1487.7,647.7,655.8,3328,11039.6,86.1,2369.8,97.9,1280.3,376.8,6346.7,1114.3,205.1,1764
1980,"4Q",392.2,1536.8,661.1,700.4,3409.1,11300,88.3,2432.8,99.7,1308.4,375.5,6515.1,1124.6,207.9,1785.9
1981,"1Q",403,1496.4,677.7,808.2,3495.4,11669.4,95.2,2496.2,101.2,1323.4,482.8,6719.1,1155,212.6,1780.5
1981,"2Q",409.2,1516.9,711.2,843,3643.7,11990,100.4,2610.6,98.6,1327.9,492,6861.4,1189.3,216.8,1803.8
1981,"3Q",413.3,1592.3,775.7,889,3700.4,12267.8,106.6,2601.4,98.5,1326.8,498.3,7031.6,1217.6,220.4,1814.2
1981,"4Q",419.8,1617.2,876.6,890.7,3784,12507.6,110.9,2582,100.6,1373.5,499.3,7169.3,1256.6,223.3,1836.8
1982,"1Q",426.9,1929.7,929.1,769.2,3857.6,12693,117.5,2608.5,98.9,1375.4,470.3,7287.3,1296.3,664.8369696969698,1885.8
1982,"2Q",428.9,1937.3,994.7,821.6,3844.7,12892.5,123,2528.8,98.4,1442.4,464.7,7464.4,1313.5,225.7,1886.3
1982,"3Q",441.6,1926,1100.1,875.3,3877.1,13081.3,129.5,2449.8,102.5,1487.5,470,7626.6,1316.3,230.5,1906.8
1982,"4Q",442.4,1926.1,1160.8,941.9,3845.1,13266,135.4,2354.9,102.1,1533.6,483.2,7813.8,1332.8,235.5,1924.3
1983,"1Q",443.1,1930.1,1234.4,891.7,4065,13628.3,140,2495.5,108.7,1530,661.3,7822.5,1376.9,235.1,1957.4
1983,"2Q",444.8,1940,1331.9,939,4150.2,13913.7,145.6,2474.2,107.2,1562.5,661,7985.9,1411,249.1,1965.5
1983,"3Q",448.2,1952.2,1380.3,944.3,4150.2,14191.6,151.4,2575,105.5,1593.5,670.6,8114.4,1439.1,252.1,2012.3
1983,"4Q",448,1966.8,1500.8,961.9,4498.2,14600.2,159.2,2655.9,106.3,1611.7,713.7,8232.1,1466.1,252.3,2037.8
1984,"1Q",448.7,1944.7,1572.1,1031.2,4668.4,15103,158.8,2753.1,104.8,1637.6,870.1,8439.2,1525.5,257.5,2073.7
1984,"2Q",457,1944.6,1567.2,1047.8,4687,15259.9,163.1,2763.1,111.7,1669.6,914.3,8552.6,1599.2,262.7,2027.6
1984,"3Q",456.6,1960,1576,1117,4677.4,15428.6,165.1,2743.1,110.7,1690.6,950.8,8729.3,1572.2,265.8,2111.8
1984,"4Q",457.3,1961.9,1564.4,1139.3,4635.2,15475.2,171.5,2705.9,112.9,1652.1,975.5,8823.4,1592.4,269.6,2184.3
1985,"1Q",453.8,2049.6,1546.5,1204.7,4595.9,15658.8,171.9,2678.3,110,1730.6,1042.1,8983.9,1577.4,278.9,2130.3
1985,"2Q",454.3,2211.8,1274.3,1225.7,4204.8,15225.5,173.9,2564.4,101,1722.9,1010.8,9058.4,1592.3,276.3,2044.9
1985,"3Q",451.7,2038.3,1238.8,1287.1,4103.2,15063.7,177.1,2507.6,96.6,1729.1,1071,8990.3,1594.6,271.3,1967.7
1985,"4Q",455.8,2049.1,1162.8,1266.4,3933.3,14933.6,182,2419.5,89,1762.4,1154.7,9045.2,1634.9,272.5,1956.3
1986,"1Q",470.4,2069.3,1107.3,1200.7,4006.1,14997.8,185.8,2540.1,88.4,1794.5,1162.6,9007.6,1661.3,278.7,1915.9
1986,"2Q",468.8,1876.7,1089.4,1220.8,4149.5,15240.1,191.7,2693.1,86.6,1808,1201.5,9059.1,1691.3,287.9,2018.9
1986,"3Q",487.9,1910.3,908.5,1285.1,4121,15479.2,196.3,2831.3,86.4,1854.4,1236.7,9288.4,1727.2,296,2019.5
1986,"4Q",492.5,2313.5,888.8,1252,4207.7,15909.4,201.3,2931,84.6,1900.1,1244.9,9604.3,1740,303.9,2073.1
1987,"1Q",490.8,2307.6,895.6,1398.7,4268.2,16227.3,206.4,2986.9,82.9,1960.7,1313.1,9805.5,1707.3166666666668,664.8369696969698,1958.3
1987,"2Q",516.8,2075,906,1524.1,4415.8,16786,212.3,3117.7,82.6,1948.6,1332.9,10154.5,1789.2,310.2,2247.1
1987,"3Q",535.8,2132.8,879.6,1606.1,4563.2,17370.5,224.4,3284.9,77.6,1952,1319.4,10482,1848.2,321.2,2316.3
1987,"4Q",566.1,2423.2,837.5,1488.3,4772.6,17878.5,233.1,3524.6,73.6,2072.7,1359.2,10709.8,1882.1,335.5,2345.6
1988,"1Q",587.8,2525.1,826.6,1414.8,4868.9,18023.7,248,3638.3,67.5,2059.5,1396.1,10788.3,1962.8,335.5,2342.7
1988,"2Q",600.3,2539,843,1530.3,5057.2,18781.7,256.4,3804.6,68.6,2041.1,1407,11243,1990.6,339.6,2619.2
1988,"3Q",620.4,2599.9,839,1605.9,5149,19272.9,263.6,3894.1,66.4,2082.8,1402,11614.5,2036.8,347.9,2734.6
1988,"4Q",645.3,2703.8,819.7,1651.9,5198.4,19784.9,272.5,3959.1,66.3,2108.5,1463.6,11907.9,2088,350.9,2777.7
1989,"1Q",672.9,2791.9,827.3,1639.4,5249.9,19803.4,276.4,3999.3,66.1,2157.6,1517.3,11865.1,2130.1,354.9,2527.7
1989,"2Q",684.2,2878.3,812.9,1942.4,5417.3,20981.7,284.4,4182.2,61.4,2254.1,1522.9,12815.9,2166.9,358.2,2873.1
1989,"3Q",704.4,2958.7,846.2,1875.3,5528,21213,287.6,4252.4,64.3,2259.9,1511.4,12957.1,2201.7,362.8,3017.6
1989,"4Q",707.5,2969.2,875.8,1832.4,5678.4,21671.6,306.3,4365,64.4,2276.1,1536.4,12959.1,2268.1,371.3,2936.4
1990,"1Q",705,2975.1,886.6,2169.7,5790.4,22658.1,314.6,4456.2,63.8,2341.5,1515.9,13765.9,2335.7,383.4,3120.8
1990,"2Q",706.8,3076.2,900,2185.7,5894.6,22931.4,324.5,4544.7,58.7,2416.9,1516.4,14000.7,2374.9,391,3134.6
1990,"3Q",710.6,3092.4,878.9,2276.3,5997.8,23170.8,334.7,4669.7,55.6,2451.3,1535.8,14187.3,2395.4,391.1,3108.6
1990,"4Q",724.9,3159.4,948.7,2216.4,6139.3,23488.2,343.1,4732.6,57.6,2474.1,1543.9,14386.5,2411,400.1,3292.8
1991,"1Q",664,3225.2,989,2300.5,6359.6,24045.2,358.8,4911.7,53.7,2508.5,1548.2,14699.2,2431.1,404.5,3446.3
1991,"2Q",716.7,3258.2,992.4,2387,6296.5,24416.9,370.6,4838.7,55.3,2565.9,1550.2,15066.5,2499.7,411,3472.1
1991,"3Q",733.2,3308.9,1099.1,2321.7,6414.2,24854.4,380.9,4841.2,54.3,2609.2,1568.6,15245.2,2573.7,425.5,3559.4
1991,"4Q",745.7,3387.1,1179.1,2368.6,6480.7,25013.1,382.6,4832,52.5,2654.3,1567.1,15392.6,2612.5,426,3481.7
1992,"1Q",767.4,3549.9,1221.3,2446,6551.2,25466,417.1,4854.2,54,2682.7,1563.9,15667.6,2624.8,432.3,3403.3
1992,"2Q",773.2,3604.2,1251.2,2670.9,6566.7,25872.5,423.1,4843.9,51.6,2730.9,1563.3,16100.2,2604.7,431.9,3456.8
1992,"3Q",782.3,3643,1259.7,2894.2,6707.1,26636.4,441.5,4978.1,49.2,2771.4,1583.3,16645.1,2643.1,430.4,3560.1
1992,"4Q",779.8,3671.4,1299.5,3032.4,6957.5,27320.2,456.7,5177.1,49.1,2789.9,1569.4,17067.2,2696.1,441.8,3689.6
