Year,Month,Region,Category,Product,Units Sold,Unit Price,Cost of Goods Sold,Marketing Spend,Customer Ratings
2022,5,Indonesia,Computers,Keyboard,478.0,716.14,764.36,15111.74,1.2
2018,10,Indonesia,Electronics,E-reader,1080.0,1581.42,832.1,8906.02,3.9
2021,5,Singapore,Personal Care,Facial Cleanser,1102.0,1602.86,616.42,4294.26,3.7
2021,3,Malaysia,Computers,Keyboard,988.0,338.99,1390.05,15281.55,4.7
2021,2,Singapore,Computers,Monitor,530.0,1629.5,617.46,17958.94,4.7
2019,4,Singapore,Computers,Printer,673.0,1148.2,1080.62,1647.8,2.3
2021,9,Indonesia,Home Appliances,Refrigerator,1125.0,906.63,613.35,37531.89,4.0
2020,5,Malaysia,Computers,Desktop,675.0,131.99,72.44,4702.25,2.0
2022,2,Indonesia,Entertainment,Sound System,763.0,1697.09,252.91,28457.38,1.4
2018,10,Indonesia,Home Appliances,Washing Machine,57.0,1623.19,525.97,25363.48,1.5
2018,12,Singapore,Electronics,Camera,337.0,1618.77,855.47,24811.43,3.3
2022,8,Indonesia,Personal Care,Hair Dryer,1237.0,731.46,333.52,9345.08,4.6
2020,11,Singapore,Home Appliances,Air Conditioner,453.0,1066.63,768.23,12998.3,4.6
2019,3,Singapore,Electronics,Smartphone,1114.0,1260.74,148.77,19670.34,4.9
2018,11,Singapore,Entertainment,Streaming Device,1343.0,1457.62,990.88,8347.8,3.5
2019,5,Singapore,Home Appliances,Refrigerator,,,240.34,12878.25,
2019,10,Malaysia,Computers,Desktop,658.0,401.6,1252.81,22904.43,2.7
2018,11,Thailand,Electronics,Camera,1249.0,1976.87,45.37,12761.74,4.6
2019,4,Philippines,Home Appliances,Refrigerator,750.0,1548.25,1065.14,23567.99,1.7
2022,3,Philippines,Computers,Monitor,352.0,1034.61,1136.29,46662.49,3.4
2021,9,Indonesia,Entertainment,Gaming Console,1481.0,1248.73,626.8,48934.03,1.8
2018,11,Thailand,Entertainment,Sound System,,,1148.87,15125.01,
2021,5,Philippines,Home Appliances,Microwave,1037.0,834.32,1451.14,26787.04,1.1
2018,5,Thailand,Home Appliances,Blender,1229.0,1727.65,39.72,3091.58,2.7
2020,9,Singapore,Home Appliances,Microwave,1457.0,909.03,694.7,15873.02,1.9
2021,11,Malaysia,Personal Care,Facial Cleanser,1224.0,164.5,1357.79,25988.96,1.5
2018,7,Malaysia,Home Appliances,Blender,486.0,198.73,1013.67,24681.09,1.5
2019,8,Indonesia,Personal Care,Massager,839.0,940.12,1437.51,7864.22,2.3
2021,3,Singapore,Personal Care,Electric Toothbrush,1211.0,731.3,654.51,7455.04,2.5
2021,7,Philippines,Home Appliances,Refrigerator,706.0,1600.12,749.26,44971.01,2.7
2021,4,Thailand,Computers,Keyboard,646.0,1560.95,475.53,19792.48,1.4
2018,5,Philippines,Computers,Desktop,694.0,540.8,434.45,35972.42,1.1
2019,7,Philippines,Computers,Printer,137.0,1156.61,1203.96,8855.34,3.3
2019,11,Philippines,Electronics,Smartwatch,442.0,19999.4,100.74,12867.87,2.6
2019,11,Indonesia,Personal Care,Shaver,1221.0,144.96,887.22,21800.43,1.3
2018,10,Indonesia,Home Appliances,Blender,921.0,773.35,1118.94,1776.65,1.4
2020,9,Malaysia,Personal Care,Massager,1498.0,1795.81,140.1,28935.52,1.6
2022,12,Singapore,Entertainment,Sound System,902.0,181.0,1264.49,32340.15,1.4
2021,9,Malaysia,Computers,External Hard Drive,329.0,1487.35,61.44,11277.99,4.9
2021,10,Philippines,Computers,Printer,853.0,81.33,1408.92,7223.39,3.2
2020,6,Thailand,Home Appliances,Refrigerator,535.0,312.63,719.1,36446.32,4.6
2022,2,Philippines,Personal Care,Shaver,439.0,1741.23,1394.08,22540.26,4.7
2020,10,Thailand,Electronics,Smartwatch,881.0,1042.08,422.84,16984.37,3.0
2018,7,Philippines,Entertainment,VR Headset,1019.0,471.33,429.1,28317.3,3.8
2018,11,Thailand,Computers,Laptop,1144.0,1835.71,352.57,30716.47,1.8
